County,Solds,Ave List Price,Ave Sold Price,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Number,Unnamed: 3
Al Counties,0.0,$0,$0,,,,,,,,,
Baldwin,9.0,"$157,889","$157,000",,,,,,,,,
Banks,1.0,"$295,000","$291,000",,,,,,,,,
Barrow,17.0,"$312,081","$309,669",,,,,,,,,
Bartow,5.0,"$255,058","$248,300",,,,,,,,,
Bibb,1.0,"$139,000","$112,000",,,,,,,,,
Bryan,0.0,$0,$0,,,,,,,,,
Bulloch,2.0,"$149,600","$149,600",,,,,,,,,
Butts,0.0,$0,$0,,,,,,,,,
Camden,1.0,"$157,000","$155,890",,,,,,,,,
Carroll,2.0,"$184,500","$184,500",,,,,,,,,
Chatham,3.0,"$248,333","$238,000",,,,,,,,,
Cherokee,25.0,"$415,930","$415,358",,,,,,,,,
Clarke,2.0,"$242,500","$247,500",,,,,,,,,
Clayton,24.0,"$203,290","$200,982",,,,,,,,,
Cobb,78.0,"$349,124","$343,001",,,,,,,,,
Colquitt,0.0,$0,$0,,,,,,,,,
Columbia,0.0,$0,$0,,,,,,,,,
Coweta,6.0,"$508,967","$531,693",,,,,,,,,
Dawson,1.0,"$325,000","$300,000",,,,,,,,,
DeKalb,106.0,"$349,481","$345,202",,,,,,,,,
Douglas,5.0,"$241,520","$240,000",,,,,,,,,
Effingham,0.0,$0,$0,,,,,,,,,
Fayette,1.0,"$749,900","$746,900",,,,,,,,,
Floyd,6.0,"$309,947","$308,683",,,,,,,,,
Forsyth,14.0,"$437,614","$432,343",,,,,,,,,
Fulton,151.0,"$442,012","$439,269",,,,,,,,,
Glynn,2.0,"$206,250","$209,250",,,,,,,,,
Gordon,2.0,"$274,250","$256,200",,,,,,,,,
Greene,1.0,"$719,000","$700,000",,,,,,,,,
Gwinnett,75.0,"$355,156","$348,368",,,,,,,,,
Habersham,0.0,$0,$0,,,,,,,,,
Hall,20.0,"$330,971","$320,672",,,,,,,,,
Hart,0.0,$0,$0,,,,,,,,,
Henry,18.0,"$263,506","$263,873",,,,,,,,,
Houston,1.0,"$169,900","$169,900",,,,,,,,,
Jackson,1.0,"$389,865","$389,865",,,,,,,,,
Liberty,0.0,$0,$0,,,,,,,,,
Lumpkin,0.0,$0,$0,,,,,,,,,
Morgan,0.0,$0,$0,,,,,,,,,
NC Counties,0.0,$0,$0,,,,,,,,,
Newton,1.0,"$200,000","$200,000",,,,,,,,,
Oconee,0.0,$0,$0,,,,,,,,,
Paulding,3.0,"$278,330","$273,833",,,,,,,,,
Pickens,1.0,"$289,135","$287,635",,,,,,,,,
Putnam,2.0,"$774,000","$737,500",,,,,,,,,
Rabun,0.0,$0,$0,,,,,,,,,
Richmond,0.0,$0,$0,,,,,,,,,
Rockdale,5.0,"$253,000","$250,400",,,,,,,,,
Sc Counties,0.0,$0,$0,,,,,,,,,
Spalding,0.0,$0,$0,,,,,,,,,
Towns,1.0,"$625,000","$630,000",,,,,,,,,
Troup,0.0,$0,$0,,,,,,,,,
Walker,0.0,$0,$0,,,,,,,,,
Walton,1.0,"$249,900","$254,900",,,,,,,,,
White,0.0,$0,$0,,,,,,,,,
Al Counties,0.0,$0,$0,,,,,,,,,
Baldwin,0.0,$0,$0,,,,,,,,,
Banks,0.0,$0,$0,,,,,,,,,
Barrow,7.0,"$285,657","$282,611",,,,,,,,,
Bartow,8.0,"$242,563","$240,401",,,,,,,,,
Bibb,1.0,"$100,000","$97,250",,,,,,,,,
Bryan,1.0,"$300,000","$295,000",,,,,,,,,
Bulloch,5.0,"$116,920","$114,400",,,,,,,,,
Butts,2.0,"$238,440","$236,720",,,,,,,,,
Camden,0.0,$0,$0,,,,,,,,,
Carroll,9.0,"$219,843","$214,020",,,,,,,,,
Chatham,6.0,"$308,895","$308,980",,,,,,,,,
Cherokee,25.0,"$456,588","$455,091",,,,,,,,,
Clarke,4.0,"$240,969","$220,475",,,,,,,,,
Clayton,17.0,"$206,800","$205,246",,,,,,,,,
Cobb,91.0,"$414,337","$410,017",,,,,,,,,
Colquitt,1.0,"$171,000","$165,000",,,,,,,,,
Columbia,0.0,$0,$0,,,,,,,,,
Coweta,7.0,"$310,209","$313,372",,,,,,,,,
Dawson,1.0,"$265,000","$250,000",,,,,,,,,
